n,R_1,R_2,width,segments,rotationSpeed,rotationDirection,arrowPointIndex,isDashed,dashSpeed,isSelfRotating,arrowDirection
3,1.0,1.5,0.02,1000,90,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CW,0,True,3,True,1
3,1.0,1.5,0.02,1000,135,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,90,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CCW,0,False,1.0,True,1
3,1.0,1.5,0.02,1000,135,CW,0,True,-3,True,1
